sampleID POP K1 K2 K3 K4 K5
HG02343 AFR 1e-05 0.007131 1e-05 0.216592 0.776257
HG02345 AMR 0.134916 0.000957 0.390713 0.371073 0.102342
HG02348 AMR 0.011222 0.017747 0.789072 0.162651 0.019308
HG02351 EAS 0.991795 0.008175 1e-05 1e-05 1e-05
HG02353 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG02355 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG02356 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG02360 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG02364 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG02367 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG02371 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG02373 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG02374 EAS 0.997539 0.002431 1e-05 1e-05 1e-05
HG02375 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG02379 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG02380 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG02382 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG02383 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG02384 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG02385 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG02386 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG02389 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG02390 EAS 0.995847 0.004123 1e-05 1e-05 1e-05
HG02391 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG02392 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG02394 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG02395 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG02396 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG02397 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG02398 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG02399 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG02401 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG02402 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG02406 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG02407 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG02408 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG02409 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG02410 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG02419 AFR 0.000465 0.005793 1e-05 0.05499 0.938743
HG02420 AFR 1e-05 1e-05 1e-05 0.423827 0.576143
HG02425 AMR 0.017534 0.001967 0.520376 0.373921 0.086202
HG02427 AFR 1e-05 0.011111 1e-05 0.072441 0.916428
HG02429 AFR 1e-05 0.002628 1e-05 0.087605 0.909747
HG02433 AFR 0.003305 0.006659 1e-05 0.114206 0.87582
HG02439 AFR 1.1e-05 0.005037 1e-05 0.049743 0.945199
HG02442 AFR 1e-05 0.000422 1e-05 0.021853 0.977705
HG02445 AFR 1e-05 0.001969 1e-05 0.17093 0.82708
HG02449 AFR 1e-05 1e-05 1e-05 0.050434 0.949536
HG02450 AFR 1e-05 0.004943 1e-05 0.08129 0.913747
HG02455 AFR 1e-05 0.012893 1e-05 0.123743 0.863344
HG02461 AFR 1e-05 1e-05 1e-05 0.003892 0.996078
HG02462 AFR 1e-05 1e-05 1e-05 0.037311 0.962659
HG02464 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG02465 AFR 1e-05 1e-05 1e-05 0.000963 0.999007
HG02470 AFR 1e-05 0.002256 1e-05 0.064071 0.933653
HG02471 AFR 1e-05 0.002238 1e-05 0.068571 0.929171
HG02476 AFR 1.4e-05 0.001257 1e-05 0.153685 0.845034
HG02477 AFR 1e-05 0.001352 1e-05 0.130456 0.868172
HG02479 AFR 1e-05 0.000655 1e-05 0.091931 0.907394
HG02481 AFR 0.010028 0.011679 1e-05 0.074529 0.903755
HG02484 AFR 1e-05 1e-05 1e-05 0.106382 0.893588
HG02485 AFR 1.2e-05 0.004247 1e-05 0.252673 0.743058
HG02489 AFR 1e-05 0.001665 0.002353 0.121407 0.874565
HG02490 SAS 1e-05 0.734311 1e-05 0.265659 1e-05
HG02491 SAS 1e-05 0.8088 1e-05 0.19117 1e-05
HG02493 SAS 1e-05 0.760634 1e-05 0.231656 0.00769
HG02494 SAS 0.004598 0.711222 1e-05 0.28416 1e-05
HG02496 AFR 1e-05 0.000229 1e-05 0.080154 0.919597
HG02497 AFR 1e-05 1e-05 0.004741 0.050709 0.94453
HG02501 AFR 6e-04 0.009172 1e-05 0.203606 0.786612
HG02502 AFR 1e-05 0.00876 1e-05 0.173951 0.817269
HG02505 AFR 1e-05 0.011353 1e-05 0.088994 0.899634
HG02508 AFR 0.005041 0.006461 1e-05 0.066638 0.92185
HG02511 AFR 0.006233 0.007027 1e-05 0.051298 0.935432
HG02512 EAS 0.978137 0.021833 1e-05 1e-05 1e-05
HG02513 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG02521 EAS 0.973188 0.026778 1.3e-05 1e-05 1e-05
HG02522 EAS 0.968919 0.031051 1e-05 1e-05 1e-05
HG02536 AFR 1e-05 7.7e-05 1e-05 0.189149 0.810754
HG02537 AFR 1e-05 0.002169 1e-05 0.04835 0.949462
HG02541 AFR 1.4e-05 0.006296 1e-05 0.17431 0.81937
HG02545 AFR 1e-05 0.005864 1e-05 0.079941 0.914175
HG02546 AFR 1e-05 0.009233 0.005751 0.065393 0.919612
HG02549 AFR 1e-05 0.009529 1e-05 0.02705 0.963401
HG02554 AFR 0.003109 0.007645 1e-05 0.102345 0.886892
HG02555 AFR 1e-05 0.005754 1e-05 0.098395 0.895831
HG02557 AFR 1e-05 0.016327 1e-05 0.047565 0.936087
HG02558 AFR 1e-05 0.004001 1e-05 0.09379 0.902189
HG02561 AFR 1e-05 0.004392 1e-05 0.025941 0.969647
HG02562 AFR 1e-05 0.002456 1e-05 0.000187 0.997337
HG02568 AFR 1e-05 1e-05 1e-05 0.023428 0.976542
HG02570 AFR 1e-05 0.002511 1e-05 1e-05 0.997459
HG02571 AFR 1e-05 0.002472 1e-05 0.005382 0.992125
HG02573 AFR 1e-05 1e-05 1e-05 0.023148 0.976822
HG02574 AFR 1e-05 1e-05 1e-05 0.039318 0.960652
HG02577 AFR 1e-05 0.003802 1e-05 0.199335 0.796843
HG02580 AFR 0.000768 0.009934 1e-05 0.139869 0.849419
HG02582 AFR 1e-05 0.014505 1e-05 1e-05 0.985465
HG02583 AFR 1e-05 0.003907 1e-05 1e-05 0.996063
HG02585 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG02586 AFR 1e-05 0.005402 1e-05 0.005187 0.989391
HG02588 AFR 1e-05 0.004845 1e-05 0.006623 0.988512
HG02589 AFR 1e-05 0.006641 1e-05 0.006347 0.986993
HG02594 AFR 1e-05 0.006061 1e-05 0.015998 0.97792
HG02595 AFR 1e-05 1e-05 1e-05 0.014546 0.985424
HG02597 SAS 1e-05 0.73989 1e-05 0.26008 1e-05
HG02600 SAS 0.010869 0.853101 0.000925 0.135095 1e-05
HG02601 SAS 0.010456 0.834296 1e-05 0.155228 1e-05
HG02603 SAS 1e-05 0.791486 1e-05 0.208484 1e-05
HG02604 SAS 0.000561 0.725054 0.009072 0.265303 1e-05
HG02610 AFR 1e-05 0.006975 1e-05 1e-05 0.992995
HG02611 AFR 1e-05 0.006951 1e-05 1e-05 0.993019
HG02613 AFR 1e-05 1e-05 1e-05 0.032555 0.967415
HG02614 AFR 1e-05 0.000668 1e-05 0.04317 0.956142
HG02620 AFR 1e-05 1e-05 1e-05 0.007345 0.992625
HG02621 AFR 1e-05 0.004768 1e-05 1e-05 0.995202
HG02623 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG02624 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG02628 AFR 1e-05 0.001176 1e-05 1e-05 0.998794
HG02629 AFR 1e-05 0.003859 1e-05 0.001612 0.994509
HG02634 AFR 1e-05 1e-05 1e-05 0.021733 0.978237
HG02635 AFR 1e-05 0.003577 1e-05 0.011928 0.984475
HG02642 AFR 1e-05 1e-05 1e-05 0.013861 0.986109
HG02643 AFR 1e-05 1e-05 1e-05 0.019832 0.980138
HG02645 AFR 1.7e-05 0.007324 1e-05 1e-05 0.992639
HG02646 AFR 1e-05 1e-05 1e-05 0.00538 0.99459
HG02648 SAS 0.005269 0.6878 0.003339 0.303582 1e-05
HG02649 SAS 1e-05 0.692183 1e-05 0.307787 1e-05
HG02651 SAS 0.004235 0.772927 1e-05 0.222819 1e-05
HG02652 SAS 1e-05 0.76394 1e-05 0.23603 1e-05
HG02654 SAS 1e-05 0.682939 0.001531 0.31551 1e-05
HG02655 SAS 1e-05 0.678205 1e-05 0.321765 1e-05
HG02657 SAS 0.010977 0.80184 1e-05 0.187163 1e-05
HG02658 SAS 0.006134 0.795885 0.009927 0.188043 1e-05
HG02660 SAS 0.001827 0.783169 1e-05 0.214985 1e-05
HG02661 SAS 0.010732 0.787403 0.006533 0.195322 1e-05
HG02666 AFR 1e-05 1e-05 1e-05 0.00056 0.99941
HG02667 AFR 1e-05 0.001816 1e-05 0.008867 0.989297
HG02675 AFR 1e-05 1e-05 1e-05 0.009932 0.990038
HG02676 AFR 1e-05 1e-05 1e-05 0.022205 0.977765
HG02678 AFR 1e-05 1e-05 1e-05 0.019291 0.980679
HG02679 AFR 1e-05 1e-05 1e-05 0.00943 0.99054
HG02681 SAS 1e-05 0.720765 1e-05 0.279205 1e-05
HG02682 SAS 1e-05 0.707503 0.001051 0.291425 1e-05
HG02684 SAS 1e-05 0.905595 1e-05 0.094375 1e-05
HG02685 SAS 1e-05 0.914192 1e-05 0.085778 1e-05
HG02687 SAS 1e-05 0.958305 1e-05 0.041665 1e-05
HG02688 SAS 1e-05 0.915426 1e-05 0.084544 1e-05
HG02690 SAS 1e-05 0.700581 1e-05 0.299389 1e-05
HG02691 SAS 0.003035 0.696637 1e-05 0.300309 1e-05
HG02694 SAS 1e-05 0.700003 1e-05 0.299967 1e-05
HG02696 SAS 0.013647 0.801927 1e-05 0.184406 1e-05
HG02697 SAS 1e-05 0.730044 0.003746 0.26619 1e-05
HG02699 SAS 1e-05 0.705629 1e-05 0.294341 1e-05
HG02700 SAS 1e-05 0.73912 1e-05 0.26085 1e-05
HG02702 AFR 1e-05 0.01022 1e-05 0.021812 0.967948
HG02703 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG02715 AFR 1e-05 1e-05 1e-05 0.008187 0.991783
HG02716 AFR 1e-05 1e-05 1e-05 0.002071 0.997899
HG02721 AFR 1e-05 1e-05 1e-05 0.012558 0.987412
HG02722 AFR 1e-05 1e-05 1e-05 0.008296 0.991674
HG02724 SAS 0.015505 0.928851 1e-05 0.055625 1e-05
HG02725 SAS 0.002007 0.934755 1e-05 0.063219 1e-05
HG02727 SAS 0.000497 0.94503 1e-05 0.054453 1e-05
HG02728 SAS 0.016968 0.939342 1e-05 0.04367 1e-05
HG02731 SAS 0.004705 0.823458 1e-05 0.171817 1e-05
HG02733 SAS 1e-05 0.768643 1e-05 0.231327 1e-05
HG02734 SAS 0.009093 0.72401 1e-05 0.266878 1e-05
HG02736 SAS 0.009329 0.712438 0.003675 0.274548 1e-05
HG02737 SAS 1e-05 0.719464 1e-05 0.280506 1e-05
HG02756 AFR 1e-05 1e-05 1e-05 0.000997 0.998973
HG02757 AFR 1e-05 0.001243 1e-05 0.008663 0.990074
HG02759 AFR 1e-05 1e-05 1e-05 0.013125 0.986845
HG02760 AFR 1e-05 1e-05 1e-05 0.018512 0.981458
HG02763 AFR 1e-05 1e-05 1e-05 0.00912 0.99085
HG02768 AFR 0.000402 1e-05 1e-05 0.000985 0.998593
HG02769 AFR 1e-05 1e-05 1e-05 0.013242 0.986728
HG02771 AFR 1e-05 0.003891 1e-05 1e-05 0.996079
HG02772 AFR 1e-05 0.003939 1e-05 1e-05 0.996031
HG02774 SAS 1e-05 0.855766 1e-05 0.144204 1e-05
HG02775 SAS 0.020253 0.911364 1e-05 0.068364 1e-05
HG02778 SAS 0.007263 0.926029 1e-05 0.066687 1e-05
HG02780 SAS 0.002874 0.916816 1e-05 0.080289 1e-05
HG02783 SAS 0.01077 0.938163 1e-05 0.051048 1e-05
HG02784 SAS 0.000434 0.913191 1e-05 0.086356 1e-05
HG02786 SAS 1e-05 0.966761 1e-05 0.033208 1e-05
HG02787 SAS 0.010566 0.927366 1e-05 0.062048 1e-05
HG02789 SAS 0.010333 0.912994 1e-05 0.076653 1e-05
HG02790 SAS 0.015317 0.918203 1e-05 0.06646 1e-05
HG02792 SAS 1e-05 0.956368 1e-05 0.043602 1e-05
HG02793 SAS 1e-05 0.953552 1e-05 0.046418 1e-05
HG02798 AFR 1e-05 0.005625 1e-05 0.003062 0.991293
HG02799 AFR 1e-05 1e-05 1e-05 0.011366 0.988604
HG02804 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG02805 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG02807 AFR 1e-05 1e-05 1e-05 0.026832 0.973138
HG02808 AFR 1e-05 0.002683 1e-05 0.012962 0.984336
HG02810 AFR 1e-05 1e-05 1e-05 0.070772 0.929198
HG02811 AFR 1e-05 0.006686 1e-05 1e-05 0.993284
HG02813 AFR 1e-05 1e-05 1e-05 0.00473 0.99524
HG02814 AFR 1e-05 1e-05 1e-05 0.008738 0.991232
HG02816 AFR 1e-05 0.00472 1e-05 0.014277 0.980984
HG02817 AFR 1e-05 1e-05 1e-05 0.022586 0.977384
HG02819 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG02820 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG02836 AFR 1e-05 0.011446 1e-05 0.009075 0.979458
HG02837 AFR 1e-05 1e-05 1e-05 0.010549 0.989421
HG02839 AFR 1e-05 1e-05 1e-05 0.009887 0.990083
HG02840 AFR 1e-05 0.001706 1e-05 0.021302 0.976972
HG02851 AFR 1e-05 1e-05 1e-05 0.015059 0.984911
HG02852 AFR 1e-05 1e-05 1e-05 0.019737 0.980233
HG02854 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG02855 AFR 1e-05 0.001921 1e-05 0.008691 0.989368
HG02860 AFR 0.002407 0.006866 1e-05 1e-05 0.990707
HG02861 AFR 1e-05 0.004953 1e-05 0.007215 0.987812
HG02870 AFR 1e-05 0.010599 1e-05 1e-05 0.989371
HG02878 AFR 1e-05 0.003697 1e-05 0.002966 0.993316
HG02879 AFR 1e-05 0.006672 1e-05 0.007568 0.98574
HG02881 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG02882 AFR 1e-05 0.003319 1e-05 0.005077 0.991585
HG02884 AFR 1e-05 1e-05 1e-05 0.013176 0.986794
HG02885 AFR 1e-05 0.003327 1e-05 0.010811 0.985842
HG02887 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG02888 AFR 1e-05 0.0079 1e-05 0.005335 0.986745
HG02890 AFR 1e-05 1e-05 1e-05 0.01766 0.98231
HG02891 AFR 1e-05 1e-05 1e-05 0.012613 0.987357
HG02895 AFR 1e-05 0.000878 1e-05 0.008212 0.99089
HG02896 AFR 1e-05 0.001449 1e-05 0.004882 0.993649
HG02922 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG02923 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG02938 AFR 1.1e-05 1e-05 1e-05 1e-05 0.999959
HG02941 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG02943 AFR 1.1e-05 1e-05 1e-05 1e-05 0.999959
HG02944 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG02946 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG02947 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG02952 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG02953 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG02968 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG02970 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG02971 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG02973 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG02974 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG02976 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG02977 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG02979 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG02981 AFR 1e-05 1.1e-05 1e-05 1e-05 0.999959
HG02982 AFR 1e-05 0.003381 1e-05 1e-05 0.996589
HG02983 AFR 1e-05 0.008036 1e-05 0.001102 0.990842
HG03006 SAS 0.090939 0.866834 1e-05 0.042207 1e-05
HG03007 SAS 0.08873 0.865665 0.003166 0.042429 1e-05
HG03009 SAS 0.097775 0.857077 1e-05 0.045128 1e-05
HG03012 SAS 0.098527 0.839767 1e-05 0.061687 1e-05
HG03015 SAS 0.013284 0.914926 1e-05 0.07177 1e-05
HG03016 SAS 0.008244 0.917708 1e-05 0.074028 1e-05
HG03018 SAS 1e-05 0.924971 1e-05 0.074999 1e-05
HG03019 SAS 1e-05 0.942706 0.001406 0.055868 1e-05
HG03021 SAS 1e-05 0.946781 1e-05 0.053189 1e-05
HG03022 SAS 3.8e-05 0.90446 1e-05 0.095482 1e-05
HG03024 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03025 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03027 AFR 1e-05 0.005247 1e-05 1e-05 0.994723
HG03028 AFR 1e-05 0.001502 1e-05 1e-05 0.998468
HG03039 AFR 1e-05 1e-05 1e-05 0.009397 0.990573
HG03040 AFR 1e-05 1e-05 1e-05 0.003776 0.996194
HG03045 AFR 1e-05 1e-05 1e-05 0.015572 0.984398
HG03046 AFR 1e-05 0.007285 1e-05 0.014713 0.977981
HG03048 AFR 1e-05 1e-05 1e-05 0.00744 0.99253
HG03049 AFR 1e-05 1e-05 1e-05 0.006238 0.993732
HG03052 AFR 1.7e-05 2e-05 1e-05 1e-05 0.999943
HG03054 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03055 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03057 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03058 AFR 1e-05 1.5e-05 1e-05 1e-05 0.999955
HG03060 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03061 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03063 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03064 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03066 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03069 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03072 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03073 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03074 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03077 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03078 AFR 1e-05 1.8e-05 1e-05 1e-05 0.999952
HG03079 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03081 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03082 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03084 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03085 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03086 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03088 AFR 1e-05 1e-05 1e-05 0.001822 0.998148
HG03091 AFR 1.6e-05 1e-05 1e-05 1e-05 0.999954
HG03095 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03096 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03097 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03099 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03100 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03103 AFR 1.1e-05 1e-05 1e-05 1e-05 0.999959
HG03105 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03108 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03109 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03111 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03112 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03114 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03115 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03117 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03118 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03120 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03121 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03123 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03124 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03126 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03127 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03129 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03130 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03132 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03133 AFR 1.1e-05 1e-05 1e-05 1e-05 0.999959
HG03135 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03136 AFR 1.1e-05 1e-05 1e-05 1e-05 0.999959
HG03139 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03157 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03159 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03160 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03162 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03163 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03166 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03168 AFR 1e-05 1.5e-05 1e-05 1e-05 0.999955
HG03169 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03172 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03175 AFR 2e-05 1e-05 1e-05 1e-05 0.99995
HG03189 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03190 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03193 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03195 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03196 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03198 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03199 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03202 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03209 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03212 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03224 AFR 1.5e-05 1e-05 1e-05 1e-05 0.999955
HG03225 AFR 1e-05 1.9e-05 1e-05 1e-05 0.999951
HG03228 SAS 0.001354 0.91304 1e-05 0.085586 1e-05
HG03229 SAS 0.008146 0.889241 1e-05 0.101479 0.001124
HG03234 SAS 0.007393 0.733107 0.003117 0.256373 1e-05
HG03235 SAS 0.000878 0.761986 0.002731 0.234395 1e-05
HG03237 SAS 1e-05 0.709962 1e-05 0.290008 1e-05
HG03238 SAS 1e-05 0.674676 0.002847 0.322457 1e-05
HG03240 AFR 1e-05 0.000716 1e-05 1e-05 0.999254
HG03241 AFR 1e-05 0.001787 1e-05 1e-05 0.998183
HG03246 AFR 1e-05 1e-05 1e-05 0.027913 0.972057
HG03247 AFR 1e-05 0.005213 1e-05 1e-05 0.994757
HG03258 AFR 1e-05 1e-05 1e-05 0.005211 0.994759
HG03259 AFR 1e-05 0.01044 1e-05 0.007575 0.981965
HG03265 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03267 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03268 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03270 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03271 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03279 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03280 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03291 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03294 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03295 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03297 AFR 1.2e-05 1e-05 1e-05 1e-05 0.999958
HG03298 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03300 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03301 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03303 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03304 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03311 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03313 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03342 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03343 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03351 AFR 1e-05 1.9e-05 1e-05 1e-05 0.999951
HG03352 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03354 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03363 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03366 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03367 AFR 1e-05 1e-05 1e-05 1e-05 0.999959
HG03369 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03370 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03372 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03376 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03378 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03380 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03382 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03385 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03388 AFR 1.2e-05 1e-05 1e-05 1e-05 0.999958
HG03391 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03394 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03397 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03401 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03410 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03419 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03428 AFR 1.2e-05 1e-05 1e-05 1e-05 0.999958
HG03432 AFR 1e-05 1.9e-05 1e-05 1e-05 0.999951
HG03433 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03436 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03437 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03439 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03442 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03445 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03446 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03449 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03451 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03452 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
HG03455 AFR 1e-05 1e-05 1e-05 1e-05 0.99996
