sampleID POP K1 K2 K3 K4 K5
HG00255 EUR 1e-05 0.022846 1e-05 0.977124 1e-05
HG00256 EUR 1e-05 0.00445 1e-05 0.99552 1e-05
HG00257 EUR 1e-05 0.008744 1e-05 0.991226 1e-05
HG00258 EUR 1e-05 0.000345 1e-05 0.999625 1e-05
HG00259 EUR 1e-05 0.006063 1e-05 0.993907 1e-05
HG00260 EUR 1e-05 1e-05 1e-05 0.99996 1e-05
HG00261 EUR 1e-05 0.010677 1e-05 0.989293 1e-05
HG00262 EUR 1e-05 0.003017 1e-05 0.996953 1e-05
HG00263 EUR 1e-05 0.003591 1e-05 0.996379 1e-05
HG00264 EUR 1e-05 0.008963 1e-05 0.991007 1e-05
HG00265 EUR 1e-05 0.004704 1e-05 0.995266 1e-05
HG00266 EUR 0.066851 1e-05 0.011779 0.92135 1e-05
HG00267 EUR 0.071888 1.2e-05 0.018722 0.909368 1e-05
HG00268 EUR 0.04559 0.002331 0.013736 0.938332 1e-05
HG00269 EUR 0.055598 0.016627 0.013127 0.914638 1e-05
HG00271 EUR 0.079016 0.011322 0.02296 0.886692 1e-05
HG00272 EUR 0.073554 0.01933 0.022765 0.884342 1e-05
HG00273 EUR 0.054335 1.2e-05 0.011576 0.934066 1e-05
HG00274 EUR 0.052725 1.2e-05 0.018091 0.929162 1e-05
HG00275 EUR 0.048556 1.2e-05 0.018863 0.932559 1e-05
HG00276 EUR 0.050902 0.01899 0.02286 0.907238 1e-05
HG00277 EUR 0.032025 0.0015 0.014392 0.952073 1e-05
HG00278 EUR 0.061275 0.007385 0.018183 0.913148 1e-05
HG00280 EUR 0.06684 1e-05 0.00305 0.93009 1e-05
HG00281 EUR 0.057288 0.011996 0.012437 0.918268 1e-05
HG00282 EUR 0.065218 1e-05 0.008628 0.926134 1e-05
HG00284 EUR 0.045105 0.007169 0.016936 0.93078 1e-05
HG00285 EUR 0.067904 0.007479 0.027509 0.897098 1e-05
HG00288 EUR 0.048319 0.021372 0.018142 0.912156 1e-05
HG00290 EUR 0.060647 0.012461 0.026239 0.900643 1e-05
HG00304 EUR 0.043936 0.028395 0.020336 0.907323 1e-05
HG00306 EUR 0.046316 0.01346 0.001654 0.93856 1e-05
HG00308 EUR 0.062347 0.001241 0.024116 0.912286 1e-05
HG00309 EUR 0.057615 0.016943 0.023034 0.902398 1e-05
HG00310 EUR 0.049812 0.011822 0.01008 0.928275 1e-05
HG00311 EUR 0.028826 0.003167 0.008931 0.959066 1e-05
HG00313 EUR 0.061212 0.005238 0.017589 0.915951 1e-05
HG00315 EUR 0.060186 0.00652 0.017237 0.916047 1e-05
HG00318 EUR 0.035946 0.021821 0.009746 0.932478 1e-05
HG00319 EUR 0.048297 0.011811 0.018353 0.921529 1e-05
HG00320 EUR 0.058076 0.00136 0.016804 0.92375 1e-05
HG00321 EUR 0.068332 1e-05 0.027885 0.903763 1e-05
HG00323 EUR 0.083253 0.008647 0.001138 0.906951 1e-05
HG00324 EUR 0.06404 1.2e-05 0.018832 0.917106 1e-05
HG00325 EUR 0.068962 1.2e-05 0.025551 0.905465 1e-05
HG00326 EUR 0.045658 1e-05 0.018434 0.935888 1e-05
HG00327 EUR 0.053242 0.006912 0.021188 0.918648 1e-05
HG00328 EUR 0.059945 1e-05 0.010363 0.929671 1e-05
HG00329 EUR 0.046311 0.015421 0.010808 0.927451 1e-05
HG00330 EUR 0.053968 0.012423 0.009349 0.924249 1e-05
HG00331 EUR 0.056162 1.2e-05 0.017854 0.925962 1e-05
HG00332 EUR 0.045612 0.013181 0.021359 0.919838 1e-05
HG00334 EUR 0.041599 0.001047 0.01715 0.940195 1e-05
HG00335 EUR 0.051593 1.2e-05 0.016269 0.932116 1e-05
HG00336 EUR 0.059569 0.019997 0.012077 0.908346 1e-05
HG00337 EUR 0.034691 1.2e-05 0.027834 0.937452 1e-05
HG00338 EUR 0.04784 0.009496 0.020421 0.922233 1e-05
HG00339 EUR 0.055149 0.007895 0.009507 0.927438 1e-05
HG00341 EUR 0.043537 0.040164 0.00982 0.90647 1e-05
HG00342 EUR 0.066524 0.010642 0.012646 0.910178 1e-05
HG00343 EUR 0.059238 1e-05 0.022165 0.918577 1e-05
HG00344 EUR 0.020994 0.013102 0.006591 0.959303 1e-05
HG00345 EUR 0.06659 0.004103 0.017425 0.911872 1e-05
HG00346 EUR 0.046175 0.006697 0.013131 0.933987 1e-05
HG00349 EUR 0.059415 1e-05 0.011475 0.92909 1e-05
HG00350 EUR 0.013133 0.024794 0.008968 0.953095 1e-05
HG00351 EUR 0.048707 1e-05 0.021674 0.929598 1e-05
HG00353 EUR 0.053036 0.003507 0.018775 0.924672 1e-05
HG00355 EUR 0.044144 0.015858 0.009419 0.93057 1e-05
HG00356 EUR 0.047968 1e-05 0.026747 0.925265 1e-05
HG00357 EUR 0.053904 0.010786 0.011668 0.923632 1e-05
HG00358 EUR 0.076388 1e-05 0.024923 0.89867 1e-05
HG00360 EUR 0.039703 0.012111 0.018832 0.929345 1e-05
HG00361 EUR 0.0647 1.2e-05 0.022073 0.913205 1e-05
HG00362 EUR 0.043681 0.022778 0.019291 0.914239 1e-05
HG00364 EUR 0.054889 1.2e-05 0.01659 0.928498 1e-05
HG00365 EUR 0.059691 0.007994 0.023326 0.908979 1e-05
HG00366 EUR 0.054527 0.021038 0.022097 0.902329 1e-05
HG00367 EUR 0.056981 0.016783 0.02138 0.904846 1e-05
HG00368 EUR 0.06855 0.004444 0.029861 0.897135 1e-05
HG00369 EUR 0.063153 0.004776 0.015915 0.916146 1e-05
HG00371 EUR 0.060637 0.0167 0.003445 0.919208 1e-05
HG00372 EUR 0.057229 0.00482 0.019089 0.918852 1e-05
HG00373 EUR 0.063811 0.002936 0.029807 0.903436 1e-05
HG00375 EUR 0.054149 0.008359 0.015612 0.92187 1e-05
HG00376 EUR 0.036622 0.006685 0.016556 0.940127 1e-05
HG00378 EUR 0.063393 1.2e-05 0.015 0.921584 1e-05
HG00379 EUR 0.040055 0.012172 0.022722 0.925041 1e-05
HG00380 EUR 0.043306 1e-05 0.002113 0.95456 1e-05
HG00381 EUR 0.055444 0.000237 0.011275 0.933034 1e-05
HG00382 EUR 0.064557 1e-05 0.027201 0.908222 1e-05
HG00383 EUR 0.065728 1e-05 0.018459 0.915793 1e-05
HG00384 EUR 0.054097 1e-05 0.019346 0.926537 1e-05
HG00403 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00404 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00406 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00407 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00409 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00410 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00419 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00421 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00422 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00428 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00436 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00437 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00442 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00443 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00445 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00446 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00448 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00449 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00451 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00452 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00457 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00458 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00463 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00464 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00472 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00473 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00475 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00476 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00478 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00479 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00500 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00513 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00524 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00525 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00530 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00531 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00533 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00534 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00536 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00537 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00542 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00543 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00551 AMR 0.027479 1e-05 0.10848 0.772901 0.091131
HG00553 AMR 0.011738 0.018083 0.152914 0.6214 0.195865
HG00554 AMR 0.006159 0.026472 0.091382 0.790303 0.085683
HG00556 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00557 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00559 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00560 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00565 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00566 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00580 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00581 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00583 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00584 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00589 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00590 EAS 0.997371 0.002599 1e-05 1e-05 1e-05
HG00592 EAS 0.983394 1e-05 0.003493 0.013092 1e-05
HG00593 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00595 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00596 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00598 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00599 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00607 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00608 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00610 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00611 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00613 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00614 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00619 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00620 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00622 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00623 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00625 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00626 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00628 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00629 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
