FlotAllele log2tpm Strain
AT 6.78971240995096 5209
TT 6.57594247073129 5209
AT 6.46999031578715 7822
TT 6.46546036620624 7822
AT 6.73622418588654 7826
TT 6.33246392086267 7826
AT 6.59204580335543 7944
TT 6.13416527559977 7944
AT 6.81271267191018 8152
TT 6.29718608816844 8152
AT 7.31387359709745 8165
TT 7.10259001063023 8165
