Cluster,Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR,Gene ratio
Cluster 4,REACTOME_PATHWAY,Metabolism,50,20.92050209,5.55E-06,"79094, 6191, 8372, 84803, 79411, 2588, 8605, 2947, 7296, 6566, 25874, 440, 123, 6799, 8659, 84750, 5947, 64131, 166929, 8871, 64174, 4199, 29923, 6173, 29968, 132, 3613, 2644, 57761, 55224, 8228, 978, 2729, 9956, 64781, 8644, 134147, 376497, 23475, 1491, 114757, 344, 122970, 4357, 51477, 5447, 109, 4833, 1528, 158067",139,2118,10946,1.859022697,0.003231844,0.003237069,0.003237069,0.209205021
Cluster 4,UP_KW_PTM,Disulfide bond,58,24.26778243,0.001181474,"26519, 8530, 136853, 2352, 3120, 8372, 3913, 3119, 10417, 3915, 3916, 2588, 4326, 6748, 120425, 10058, 5738, 7296, 8740, 6364, 374378, 93145, 6443, 338442, 7293, 643, 566, 6678, 4973, 5624, 928, 54209, 64131, 64174, 8793, 8997, 7784, 5004, 3386, 23547, 374, 83854, 2204, 10911, 654, 4224, 8989, 3897, 9956, 10870, 6586, 8843, 114757, 2852, 127943, 196264, 4357, 6978",148,3808,14104,1.451481944,0.02105431,0.022448014,0.022448014,0.242677824
